project_id,project_name,address,neighborhood,status,units_total,permit_count,valuation_total,first_date_received,last_date_issued,last_final_date,longitude,latitude,developer,permit_case_id,source_url,source_type,notes,last_updated
2023-LOG-0012880,1191 N Lowell BLVD,1191 N Lowell BLVD,Villa Park,Under Construction,8,9,1246050.0,2024-07-01,2025-02-10,,-105.034899,39.734608,COLUMBINE HOME BUILDERS,2023-LOG-0012880,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2023-LOG-0004994,6141 N Dunkirk St 5 Unit,6141 N Dunkirk St 5 Unit,DIA,Under Construction,8,8,1188314.0,2024-02-20,2024-12-17,,-104.763547,39.808247,RHINO RESIDENTIAL LLC,2023-LOG-0004994,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2022-LOG-0010401,5096 E DONALD AVE B BLDG,5096 E DONALD AVE B BLDG,Goldsmith,Under Construction,8,8,1583472.0,2022-11-18,2023-05-04,,-104.928139,39.675465,HB DEVELOPMENT LLC,2022-LOG-0010401,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2023-LOG-0005000,6147 N Dunkirk 7,6147 N Dunkirk 7,DIA,Under Construction,8,8,1188324.0,2024-02-20,2024-12-17,,-104.763321,39.808248,RHINO RESIDENTIAL LLC,2023-LOG-0005000,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2024-LOG-0009719,6118 N Ceylon St 6 Unit,6118 N Ceylon St 6 Unit,DIA,Under Construction,8,8,1501251.0,2024-10-18,2025-03-08,,-104.764395,39.807607,RHINO RESIDENTIAL LLC,2024-LOG-0009719,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2021-LOG-0014650,1467 N LOCUST ST,1467 N LOCUST ST,Montclair,Under Construction,7,8,1103000.0,2021-12-27,2022-09-20,,-104.914271,39.73967,KENT CONSTRUCTION LLC,2021-LOG-0014650,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2021-LOG-0006434,19147 E 64TH AVE,19147 E 64TH AVE,DIA,Under Construction,6,6,812053.0,2021-06-23,2021-12-07,,-104.764744,39.813308,WILLIAM LYON HOMES INC,2021-LOG-0006434,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2021-LOG-0016386,2012 S HOLLY ST 4 UNIT,2012 S HOLLY ST 4 UNIT,Virginia Village,Under Construction,6,6,1243620.0,2022-01-13,2022-02-16,,-104.920339,39.680127,"LOKAL COMMUNITIES, LLC",2021-LOG-0016386,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2022-LOG-0002932,2064 S HOLLY ST 2-3 UNIT,2064 S HOLLY ST 2-3 UNIT,Virginia Village,Under Construction,6,6,931665.0,2022-03-30,2022-07-01,,-104.920205,39.679831,"LOKAL COMMUNITIES, LLC",2022-LOG-0002932,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2021-LOG-0015507,6563 N DANUBE WAY 6 UNIT,6563 N DANUBE WAY 6 UNIT,DIA,Under Construction,6,6,812053.0,2021-12-20,2022-05-31,,-104.763289,39.816014,WILLIAM LYON HOMES INC,2021-LOG-0015507,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2021-LOG-0013920,2074 S HOLLY ST UNIT 2 UNIT,2074 S HOLLY ST UNIT 2 UNIT,Virginia Village,Under Construction,6,6,1243620.0,2021-11-19,2022-01-13,,-104.921623,39.679703,"LOKAL COMMUNITIES, LLC",2021-LOG-0013920,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2023-LOG-0004935,6134 N Ceylon ST 1 UNIT,6134 N Ceylon ST 1 UNIT,,Under Construction,6,6,1158278.0,2024-10-02,2024-10-29,,-104.764973,39.808243,RHINO RESIDENTIAL LLC,2023-LOG-0004935,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2021-LOG-0014566,2000 S HOLLY 1 UNIT,2000 S HOLLY 1 UNIT,Virginia Village,Under Construction,6,6,1243620.0,2021-12-01,2022-01-18,,-104.921787,39.680165,"LOKAL COMMUNITIES, LLC",2021-LOG-0014566,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2021-LOG-0004946,19167 E 64TH AVE,19167 E 64TH AVE,DIA,Under Construction,6,6,782604.0,2021-06-02,2021-08-17,,-104.764222,39.813306,WILLIAM LYON HOMES INC,2021-LOG-0004946,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2021-LOG-0010330,2068 S HOLLY ST UNIT 4,2068 S HOLLY ST UNIT 4,Virginia Village,Under Construction,6,6,1243620.0,2021-09-17,2022-01-04,,-104.921023,39.679735,"LOKAL COMMUNITIES, LLC",2021-LOG-0010330,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2021-LOG-0004766,19197 E 64TH AVE,19197 E 64TH AVE,DIA,Under Construction,6,6,782604.0,2021-06-01,2021-08-17,,-104.763712,39.813313,WILLIAM LYON HOMES INC,2021-LOG-0004766,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2021-LOG-0003297,888 S VALENTIA ST 21-106 UNIT,888 S VALENTIA ST 21-106 UNIT,Windsor,Under Construction,6,6,1329027.0,2021-04-29,2021-05-21,,-104.890791,39.700986,KOELBEL URBAN HOMES LLC,2021-LOG-0003297,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2021-LOG-0010664,6455 N CEYLON CT,6455 N CEYLON CT,DIA,Under Construction,6,6,812048.0,2021-09-24,2021-11-18,,-104.764796,39.814052,WILLIAM LYON HOMES INC,2021-LOG-0010664,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2021-LOG-0015518,18720 E 66TH PL,18720 E 66TH PL,DIA,Under Construction,6,6,812053.0,2021-12-21,2022-12-19,,-104.768965,39.817133,WILLIAM LYON HOMES INC,2021-LOG-0015518,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2021-LOG-0015273,6618 N ARGONNE ST,6618 N ARGONNE ST,DIA,Under Construction,6,6,872388.0,2022-01-06,2022-11-03,,-104.769494,39.817125,WILLIAM LYON HOMES INC,2021-LOG-0015273,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2021-LOG-0003555,6429 N DUNKIRK ST,6429 N DUNKIRK ST,DIA,Under Construction,6,6,589225.0,2021-05-18,2022-02-18,,-104.763091,39.813494,WILLIAM LYON HOMES INC,2021-LOG-0003555,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2022-LOG-0010891,2040 S HOLLY ST 2 UNIT,2040 S HOLLY ST 2 UNIT,Virginia Village,Under Construction,6,6,1243620.0,2022-08-29,2023-04-12,,-104.918079,39.680118,"LOKAL COMMUNITIES, LLC",2022-LOG-0010891,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2021-LOG-0015174,19067 E 64TH AVE,19067 E 64TH AVE,DIA,Under Construction,6,6,812053.0,2021-12-13,2022-04-11,,-104.766201,39.813311,WILLIAM LYON HOMES INC,2021-LOG-0015174,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2022-LOG-0011493,2044 S HOLLY ST 1 UNIT,2044 S HOLLY ST 1 UNIT,Virginia Village,Under Construction,6,6,1243620.0,2022-09-15,2023-05-22,,-104.918076,39.679708,"LOKAL COMMUNITIES, LLC",2022-LOG-0011493,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2022-LOG-0002935,2052 S HOLLY ST 1 UNIT,2052 S HOLLY ST 1 UNIT,Virginia Village,Under Construction,6,6,1243620.0,2022-03-30,2022-10-19,,-104.919071,39.679502,"LOKAL COMMUNITIES, LLC",2022-LOG-0002935,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2021-LOG-0010818,19170 E 64TH PL,19170 E 64TH PL,DIA,Under Construction,6,6,812033.0,2021-09-29,2021-12-07,,-104.7642,39.813658,WILLIAM LYON HOMES INC,2021-LOG-0010818,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2024-LOG-0009596,6114 N Ceylon ST 1 UNIT,6114 N Ceylon ST 1 UNIT,DIA,Under Construction,6,6,1158278.0,2024-10-09,2025-03-08,,-104.765012,39.807722,RHINO RESIDENTIAL LLC,2024-LOG-0009596,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2021-LOG-0010680,6428 N BISCAY ST,6428 N BISCAY ST,DIA,Under Construction,6,6,812033.0,2021-09-15,2022-05-31,,-104.767206,39.813493,WILLIAM LYON HOMES INC,2021-LOG-0010680,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2022-LOG-0002864,2064 S HOLLY ST 1-F UNIT,2064 S HOLLY ST 1-F UNIT,Virginia Village,Under Construction,6,6,931665.0,2022-03-30,2022-06-22,,-104.920239,39.679892,"LOKAL COMMUNITIES, LLC",2022-LOG-0002864,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2021-LOG-0009689,6490 N BISCAY ST,6490 N BISCAY ST,DIA,Under Construction,6,6,812033.0,2021-09-16,2021-11-09,,-104.767225,39.814323,WILLIAM LYON HOMES INC,2021-LOG-0009689,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2023-LOG-0004182,2048 S HOLLY ST 3 UNIT,2048 S HOLLY ST 3 UNIT,Virginia Village,Under Construction,6,6,1390512.0,2023-05-17,2023-07-26,,-104.918467,39.679501,"LOKAL COMMUNITIES, LLC",2023-LOG-0004182,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2025-LOG-0006941,4104 N Truckee ST,4104 N Truckee ST,Gateway - Green Valley Ranch,Under Construction,6,6,1168404.0,2025-07-31,2025-10-08,,-104.781949,39.773745,PAULSCORP LLC,2025-LOG-0006941,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2025-LOG-0008899,4466 N Rifle TOWNHOME,4466 N Rifle TOWNHOME,Gateway - Green Valley Ranch,Under Construction,6,6,1200321.0,2025-09-23,2025-12-14,,-104.785978,39.778126,PAULSCORP LLC,2025-LOG-0008899,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
2025-LOG-0008929,4488 N Rifle ST TOWNHOME,4488 N Rifle ST TOWNHOME,Gateway - Green Valley Ranch,Under Construction,6,6,1140916.0,2025-09-23,2025-12-16,,-104.785972,39.778942,PAULSCORP LLC,2025-LOG-0008929,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,permit_issued,,2026-02-16
