project_id,project_name,address,neighborhood,status,units_total,permit_count,valuation_total,first_date_received,last_date_issued,last_final_date,developer,permit_case_id,source_url,last_updated
2022-LOG-0007936,1230 N Zenobia Unit 3,1230 N Zenobia Unit 3,West Colfax,Under Construction,14,15,2634000.0,2022-07-21,2025-03-12,,TITAN INDUSTRIES CONSTRUCTION CO. LLC,2022-LOG-0007936,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2018-LOG-0002017,2650 S FEDERAL BLVD 6 UNIT,2650 S FEDERAL BLVD 6 UNIT,College View - South Platte,Under Construction,14,14,1693950.0,2018-06-05,2019-09-10,,UNREALCONSTRUCTION LLC,2018-LOG-0002017,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2022-LOG-0009121,2330 N Eliot St 6 Unit,2330 N Eliot St 6 Unit,Jefferson Park,Under Construction,14,14,2264305.0,2023-01-03,2024-03-13,,RYAN HOMES INC,2022-LOG-0009121,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2022-LOG-0001549,4375 ZENOBIA,4375 ZENOBIA,Berkeley,Under Construction,14,14,1752700.0,2022-03-23,2023-02-22,,MOSELEY CONSTRUCTION,2022-LOG-0001549,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2023-LOG-0001590,1395 N Jersey 1395,1395 N Jersey 1395,Montclair,Under Construction,14,14,1849486.0,2023-04-06,2025-07-25,,5280 CONSTRUCTION & DEVELOPMENT LLC,2023-LOG-0001590,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2023-LOG-0004778,4829 W 10th Ave,4829 W 10th Ave,Villa Park,Under Construction,13,14,3483500.0,2024-01-17,2025-01-08,,GRAMERCY BUILDERS LLC,2023-LOG-0004778,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2023-LOG-0011008,2493 S Broadway 10 Unit,2493 S Broadway 10 Unit,Overland,Under Construction,13,13,2097000.0,2023-12-07,2025-11-25,,TITAN INDUSTRIES CONSTRUCTION CO. LLC,2023-LOG-0011008,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2023-LOG-0003825,822 N Dahlia St Garage,822 N Dahlia St Garage,Hale,Under Construction,12,19,6258000.0,2023-05-17,2025-01-15,,"HOMEBOUND TECHNOLOGIES, INC.",2023-LOG-0003825,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2021-LOG-0009885,4890 N ZUNI ST,4890 N ZUNI ST,Chaffee Park,Under Construction,12,12,1644000.0,2021-11-22,2022-02-17,,RENOVAR INC,2021-LOG-0009885,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2022-LOG-0012240,4100 E Warren Ave 6 Unit,4100 E Warren Ave 6 Unit,University Hills,Under Construction,12,12,1476000.0,2022-10-31,2024-07-25,,XYZ CONSTRUCTION LLC,2022-LOG-0012240,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2021-LOG-0001302,4597 N TEJON,4597 N TEJON,Sunnyside,Under Construction,11,11,1564600.0,2021-04-15,2021-12-17,,SCHNEIDER BUILDING COMPANY LLC,2021-LOG-0001302,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2021-LOG-0012172,6967 E LOWRY BLVD,6967 E LOWRY BLVD,Lowry Field,Under Construction,11,11,2031870.0,2021-11-09,2022-08-02,,CR MACDONALD COMPANY LLC,2021-LOG-0012172,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2022-LOG-0009484,2640 S DELAWARE 3,2640 S DELAWARE 3,Overland,Under Construction,11,11,3446820.0,2022-12-08,2023-05-04,,"DENVER CONSTRUCTION MANAGEMENT, LLC",2022-LOG-0009484,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2023-LOG-0010046,805 N Glencoe St,805 N Glencoe St,Hale,Under Construction,10,12,1712676.0,2024-04-16,2025-08-20,,EJC CONSTRUCTION CO,2023-LOG-0010046,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2022-LOG-0004448,2015 W 48th,2015 W 48th,Chaffee Park,Under Construction,10,11,1474877.0,2022-05-12,2024-05-01,,UNREALCONSTRUCTION LLC,2022-LOG-0004448,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2021-LOG-0011587,1772 N WILLIAMS,1772 N WILLIAMS,City Park West,Under Construction,10,10,3415980.0,2022-01-26,2022-03-21,,CORNERSTONE BUILDERS LLC,2021-LOG-0011587,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2022-LOG-0017503,2176 S Bellaire St,2176 S Bellaire St,University Hills,Under Construction,10,10,1500000.0,2024-01-05,2024-08-22,,REED DESIGN BUILDERS LLC,2022-LOG-0017503,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2021-LOG-0014368,3320 N Clayton St,3320 N Clayton St,Clayton,Under Construction,10,10,2159819.0,2021-12-14,2025-01-24,,CATENA CONSTRUCTION LLC,2021-LOG-0014368,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2022-LOG-0016440,2910 W PARKSIDE PL,2910 W PARKSIDE PL,Chaffee Park,Under Construction,10,10,3225440.0,2023-03-11,2023-11-21,,BRISTLECONE CONSTRUCTION LLC,2022-LOG-0016440,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2021-LOG-0005907,3033 N SPEER BLVD 3 UNIT,3033 N SPEER BLVD 3 UNIT,West Highland,Under Construction,9,9,2124550.0,2021-06-21,2021-11-09,,MOSELEY CONSTRUCTION,2021-LOG-0005907,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2023-LOG-0005086,220 N Acoma ST 201,220 N Acoma ST 201,Baker,Under Construction,9,9,4730750.0,2023-12-05,2025-06-02,,"DENVER CONSTRUCTION MANAGEMENT, LLC",2023-LOG-0005086,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2025-LOG-0003400,4377 N Tejon St 301 Unit,4377 N Tejon St 301 Unit,Sunnyside,Under Construction,9,9,1829000.0,2025-04-21,2025-11-07,,TITAN INDUSTRIES CONSTRUCTION CO. LLC,2025-LOG-0003400,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2023-LOG-0012880,1191 N Lowell BLVD,1191 N Lowell BLVD,Villa Park,Under Construction,8,9,1246050.0,2024-07-01,2025-02-10,,COLUMBINE HOME BUILDERS,2023-LOG-0012880,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2023-LOG-0004994,6141 N Dunkirk St 5 Unit,6141 N Dunkirk St 5 Unit,DIA,Under Construction,8,8,1188314.0,2024-02-20,2024-12-17,,RHINO RESIDENTIAL LLC,2023-LOG-0004994,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2022-LOG-0010401,5096 E DONALD AVE B BLDG,5096 E DONALD AVE B BLDG,Goldsmith,Under Construction,8,8,1583472.0,2022-11-18,2023-05-04,,HB DEVELOPMENT LLC,2022-LOG-0010401,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2023-LOG-0005000,6147 N Dunkirk 7,6147 N Dunkirk 7,DIA,Under Construction,8,8,1188324.0,2024-02-20,2024-12-17,,RHINO RESIDENTIAL LLC,2023-LOG-0005000,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2024-LOG-0009719,6118 N Ceylon St 6 Unit,6118 N Ceylon St 6 Unit,DIA,Under Construction,8,8,1501251.0,2024-10-18,2025-03-08,,RHINO RESIDENTIAL LLC,2024-LOG-0009719,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2021-LOG-0014650,1467 N LOCUST ST,1467 N LOCUST ST,Montclair,Under Construction,7,8,1103000.0,2021-12-27,2022-09-20,,KENT CONSTRUCTION LLC,2021-LOG-0014650,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2021-LOG-0006434,19147 E 64TH AVE,19147 E 64TH AVE,DIA,Under Construction,6,6,812053.0,2021-06-23,2021-12-07,,WILLIAM LYON HOMES INC,2021-LOG-0006434,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2021-LOG-0016386,2012 S HOLLY ST 4 UNIT,2012 S HOLLY ST 4 UNIT,Virginia Village,Under Construction,6,6,1243620.0,2022-01-13,2022-02-16,,"LOKAL COMMUNITIES, LLC",2021-LOG-0016386,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2022-LOG-0002932,2064 S HOLLY ST 2-3 UNIT,2064 S HOLLY ST 2-3 UNIT,Virginia Village,Under Construction,6,6,931665.0,2022-03-30,2022-07-01,,"LOKAL COMMUNITIES, LLC",2022-LOG-0002932,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2021-LOG-0015507,6563 N DANUBE WAY 6 UNIT,6563 N DANUBE WAY 6 UNIT,DIA,Under Construction,6,6,812053.0,2021-12-20,2022-05-31,,WILLIAM LYON HOMES INC,2021-LOG-0015507,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2021-LOG-0013920,2074 S HOLLY ST UNIT 2 UNIT,2074 S HOLLY ST UNIT 2 UNIT,Virginia Village,Under Construction,6,6,1243620.0,2021-11-19,2022-01-13,,"LOKAL COMMUNITIES, LLC",2021-LOG-0013920,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2023-LOG-0004935,6134 N Ceylon ST 1 UNIT,6134 N Ceylon ST 1 UNIT,,Under Construction,6,6,1158278.0,2024-10-02,2024-10-29,,RHINO RESIDENTIAL LLC,2023-LOG-0004935,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2021-LOG-0014566,2000 S HOLLY 1 UNIT,2000 S HOLLY 1 UNIT,Virginia Village,Under Construction,6,6,1243620.0,2021-12-01,2022-01-18,,"LOKAL COMMUNITIES, LLC",2021-LOG-0014566,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2021-LOG-0004946,19167 E 64TH AVE,19167 E 64TH AVE,DIA,Under Construction,6,6,782604.0,2021-06-02,2021-08-17,,WILLIAM LYON HOMES INC,2021-LOG-0004946,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2021-LOG-0010330,2068 S HOLLY ST UNIT 4,2068 S HOLLY ST UNIT 4,Virginia Village,Under Construction,6,6,1243620.0,2021-09-17,2022-01-04,,"LOKAL COMMUNITIES, LLC",2021-LOG-0010330,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2021-LOG-0004766,19197 E 64TH AVE,19197 E 64TH AVE,DIA,Under Construction,6,6,782604.0,2021-06-01,2021-08-17,,WILLIAM LYON HOMES INC,2021-LOG-0004766,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2021-LOG-0003297,888 S VALENTIA ST 21-106 UNIT,888 S VALENTIA ST 21-106 UNIT,Windsor,Under Construction,6,6,1329027.0,2021-04-29,2021-05-21,,KOELBEL URBAN HOMES LLC,2021-LOG-0003297,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2021-LOG-0010664,6455 N CEYLON CT,6455 N CEYLON CT,DIA,Under Construction,6,6,812048.0,2021-09-24,2021-11-18,,WILLIAM LYON HOMES INC,2021-LOG-0010664,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2021-LOG-0015518,18720 E 66TH PL,18720 E 66TH PL,DIA,Under Construction,6,6,812053.0,2021-12-21,2022-12-19,,WILLIAM LYON HOMES INC,2021-LOG-0015518,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2021-LOG-0015273,6618 N ARGONNE ST,6618 N ARGONNE ST,DIA,Under Construction,6,6,872388.0,2022-01-06,2022-11-03,,WILLIAM LYON HOMES INC,2021-LOG-0015273,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2021-LOG-0003555,6429 N DUNKIRK ST,6429 N DUNKIRK ST,DIA,Under Construction,6,6,589225.0,2021-05-18,2022-02-18,,WILLIAM LYON HOMES INC,2021-LOG-0003555,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2022-LOG-0010891,2040 S HOLLY ST 2 UNIT,2040 S HOLLY ST 2 UNIT,Virginia Village,Under Construction,6,6,1243620.0,2022-08-29,2023-04-12,,"LOKAL COMMUNITIES, LLC",2022-LOG-0010891,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2021-LOG-0015174,19067 E 64TH AVE,19067 E 64TH AVE,DIA,Under Construction,6,6,812053.0,2021-12-13,2022-04-11,,WILLIAM LYON HOMES INC,2021-LOG-0015174,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2022-LOG-0011493,2044 S HOLLY ST 1 UNIT,2044 S HOLLY ST 1 UNIT,Virginia Village,Under Construction,6,6,1243620.0,2022-09-15,2023-05-22,,"LOKAL COMMUNITIES, LLC",2022-LOG-0011493,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2022-LOG-0002935,2052 S HOLLY ST 1 UNIT,2052 S HOLLY ST 1 UNIT,Virginia Village,Under Construction,6,6,1243620.0,2022-03-30,2022-10-19,,"LOKAL COMMUNITIES, LLC",2022-LOG-0002935,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2021-LOG-0010818,19170 E 64TH PL,19170 E 64TH PL,DIA,Under Construction,6,6,812033.0,2021-09-29,2021-12-07,,WILLIAM LYON HOMES INC,2021-LOG-0010818,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2024-LOG-0009596,6114 N Ceylon ST 1 UNIT,6114 N Ceylon ST 1 UNIT,DIA,Under Construction,6,6,1158278.0,2024-10-09,2025-03-08,,RHINO RESIDENTIAL LLC,2024-LOG-0009596,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2021-LOG-0010680,6428 N BISCAY ST,6428 N BISCAY ST,DIA,Under Construction,6,6,812033.0,2021-09-15,2022-05-31,,WILLIAM LYON HOMES INC,2021-LOG-0010680,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2022-LOG-0002864,2064 S HOLLY ST 1-F UNIT,2064 S HOLLY ST 1-F UNIT,Virginia Village,Under Construction,6,6,931665.0,2022-03-30,2022-06-22,,"LOKAL COMMUNITIES, LLC",2022-LOG-0002864,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2021-LOG-0009689,6490 N BISCAY ST,6490 N BISCAY ST,DIA,Under Construction,6,6,812033.0,2021-09-16,2021-11-09,,WILLIAM LYON HOMES INC,2021-LOG-0009689,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2023-LOG-0004182,2048 S HOLLY ST 3 UNIT,2048 S HOLLY ST 3 UNIT,Virginia Village,Under Construction,6,6,1390512.0,2023-05-17,2023-07-26,,"LOKAL COMMUNITIES, LLC",2023-LOG-0004182,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2025-LOG-0006941,4104 N Truckee ST,4104 N Truckee ST,Gateway - Green Valley Ranch,Under Construction,6,6,1168404.0,2025-07-31,2025-10-08,,PAULSCORP LLC,2025-LOG-0006941,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2025-LOG-0008899,4466 N Rifle TOWNHOME,4466 N Rifle TOWNHOME,Gateway - Green Valley Ranch,Under Construction,6,6,1200321.0,2025-09-23,2025-12-14,,PAULSCORP LLC,2025-LOG-0008899,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2025-LOG-0008929,4488 N Rifle ST TOWNHOME,4488 N Rifle ST TOWNHOME,Gateway - Green Valley Ranch,Under Construction,6,6,1140916.0,2025-09-23,2025-12-16,,PAULSCORP LLC,2025-LOG-0008929,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2025-LOG-0008911,4484 N Rifle TOWNHOME,4484 N Rifle TOWNHOME,Gateway - Green Valley Ranch,Under Construction,6,6,1140916.0,2025-09-23,2025-12-16,,PAULSCORP LLC,2025-LOG-0008911,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2025-LOG-0008896,4438 N Rifle TOWNHOME,4438 N Rifle TOWNHOME,Gateway - Green Valley Ranch,Under Construction,6,6,1140916.0,2025-09-23,2025-12-19,,PAULSCORP LLC,2025-LOG-0008896,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2024-LOG-0004728,1259 N Stuart St 4 Unit,1259 N Stuart St 4 Unit,West Colfax,Under Construction,5,6,1144000.0,2024-08-22,2025-03-25,,KENT CONSTRUCTION LLC,2024-LOG-0004728,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2022-LOG-0009049,3495 LAWRENCE ST,3495 LAWRENCE ST,Five Points,Under Construction,5,6,1080892.0,2023-01-23,2023-04-27,,FIVE J CONSTRUCTION LLC,2022-LOG-0009049,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2022-LOG-0001661,532 N GOLFERS 522,532 N GOLFERS 522,Lowry Field,Under Construction,5,5,1706430.0,2022-04-19,2022-12-12,,700 BUILDERS LLC,2022-LOG-0001661,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2023-LOG-0005154,6117 N Dunkirk St 5 Unit,6117 N Dunkirk St 5 Unit,DIA,Under Construction,5,5,738750.0,2024-02-20,2025-02-26,,RHINO RESIDENTIAL LLC,2023-LOG-0005154,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
2022-LOG-0008840,1372 N Lowell BLVD 5,1372 N Lowell BLVD 5,West Colfax,Under Construction,5,5,1423225.0,2023-05-11,2024-05-01,,COLUMBINE HOME BUILDERS,2022-LOG-0008840,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer,2026-02-16
